Inning,Pitcher,Out,Bases,Result
5회,하트,2사,주자없음,1
9회,주현상,1사,주자없음,1
3회,최원준,2사,1루,1
1회,김진욱,1사,1루,1
8회,이병헌,2사,"1,2루",1
1회,류현진,무사,주자없음,1
1회,조동욱,무사,주자없음,1
5회,네일,1사,주자없음,1
4회,하트,무사,주자없음,0
4회,이상영,무사,주자없음,1
4회,고영표,무사,주자없음,1
4회,최이준,1사,1루,1
5회,김범수,무사,주자없음,1
4회,크로우,무사,주자없음,1
4회,페냐,무사,주자없음,1
3회,원상현,무사,주자없음,1
8회,진해수,무사,주자없음,1
9회,주승우,1사,주자없음,1
4회,엄상백,1사,2루,1
5회,윤영철,무사,주자없음,0
1회,송영진,무사,"1,3루",1
7회,최준용,1사,"1,3루",1
6회,곽빈,1사,1루,1
7회,이지강,1사,1루,0
3회,신민혁,1사,주자없음,1
6회,앤더슨,무사,주자없음,1
10회,박영현,1사,주자없음,1
10회,박진,1사,주자없음,1
6회,브랜든,무사,주자없음,0
5회,류현진,1사,"1,3루",1
6회,이상영,1사,3루,1
2회,최준호,2사,2루,1
8회,손동현,무사,주자없음,1
7회,노경은,2사,주자없음,1
4회,하트,무사,1루,1
5회,홍건희,1사,주자없음,1
1회,바리아,무사,"1,2루",1
5회,최원준,1사,"1,2루",1
7회,최민준,1사,"1,2루",1
5회,이영하,2사,1루,1
4회,하트,무사,주자없음,1
1회,헤이수스,1사,2루,1
1회,곽빈,1사,2루,1
1회,조이현,1사,1루,1
1회,쿠에바스,무사,주자없음,1
3회,윤영철,1사,2루,1
3회,쿠에바스,무사,주자없음,1
1회,이재학,1사,주자없음,1
3회,양현종,1사,주자없음,1
1회,앤더슨,2사,주자없음,1
1회,윌커슨,2사,주자없음,1
5회,장현식,2사,"1,2루",1
3회,박소준,무사,"1,2루",1
9회,송명기,1사,"1,2루",1
5회,김진욱,1사,만루,1
1회,하영민,1사,1루,1
1회,카스타노,1사,1루,1
6회,임찬규,1사,1루,1
6회,하트,무사,주자없음,1
6회,김진욱,2사,1루,1
7회,김영규,2사,"1,2루",1
8회,이민우,무사,주자없음,1
5회,후라도,2사,2루,1
6회,손주영,무사,주자없음,1
3회,이재학,2사,"1,2루",1
12회,이우찬,1사,1루,1
6회,최준용,2사,3루,1
5회,김시훈,2사,"1,3루",1
6회,윌커슨,무사,1루,1
1회,박소준,1사,1루,1
6회,더거,2사,2루,1
3회,조영건,1사,1루,1
7회,김재열,2사,"1,2루",1
8회,김원중,2사,"1,3루",1
8회,문승원,2사,만루,1
7회,이지강,2사,"1,2루",1
