Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
06-14,NC,1회초,신민혁,4 박병호,5 (1-2),헛스윙 삼진,2사 2루 0:0,이닝종료 0:0,1.12,0.399,-0.399,54.8%,-0.032
06-04,SSG,7회초,노경은,4 박병호,5 (1-2),헛스윙 삼진,1사  0:1,2사  0:1,1.25,0.297,-0.179,77.0%,-0.031
04-04,KIA,4회말,이의리,5 박병호,2 (0-1),유격수 땅볼 아웃,무사  3:2,1사  3:2,1.19,0.550,-0.267,39.5%,-0.030
05-08,NC,2회말,카스타노,6 박병호,3 (0-2),좌익수 플라이 아웃,1사 1루 0:0,2사 1루 0:0,1.22,0.547,-0.317,52.4%,-0.029
06-16,NC,1회초,김시훈,5 박병호,6 (2-2),헛스윙 삼진,2사 2루 1:0,이닝종료 1:0,1.03,0.395,-0.395,44.5%,-0.029
06-14,NC,4회초,신민혁,4 박병호,4 (2-1),포수 플라이 아웃,무사  1:2,1사  1:2,1.14,0.569,-0.270,65.4%,-0.029
06-09,키움,4회초,헤이수스,4 박병호,2 (0-1),1루수 파울플라이 아웃,1사 1루 1:0,2사 1루 1:0,1.20,0.551,-0.309,40.1%,-0.029
05-04,키움,1회말,하영민,5 박병호,6 (2-2),헛스윙 삼진,2사 2루 0:1,이닝종료 0:1,1.00,0.395,-0.395,60.5%,-0.028
04-26,SSG,4회초,오원석,5 박병호,4 (1-2),헛스윙 삼진,1사 1루 0:3,2사 1루 0:3,1.15,0.535,-0.311,84.3%,-0.028
05-09,NC,5회말,신민혁,6 박병호,3 (0-2),헛스윙 삼진,"2사 1,2루 1:3",이닝종료 1:3,1.08,0.488,-0.488,78.3%,-0.028
05-31,한화,3회말,장시환,4 박병호,6 (3-2),헛스윙 삼진,무사  5:4,1사  5:4,1.08,0.569,-0.271,40.7%,-0.027
05-14,롯데,4회말,반즈,5 박병호,4 (1-2),헛스윙 삼진,무사  1:1,1사  1:1,1.07,0.556,-0.268,53.3%,-0.027
06-13,LG,4회말,켈리,4 박병호,1 (0-0),중견수 플라이 아웃,무사  2:2,1사  2:2,1.07,0.570,-0.273,53.3%,-0.027
05-29,키움,6회말,조상우,6 박병호,3 (1-1),유격수 땅볼 아웃,무사  8:5,1사  8:5,1.05,0.564,-0.269,13.1%,-0.027
07-17,KIA,3회초,양현종,7 박병호,5 (2-2),헛스윙 삼진,무사  0:1,1사  0:1,1.03,0.585,-0.283,64.0%,-0.026
06-11,LG,3회말,이지강,4 박병호,4 (1-2),헛스윙 삼진,1사 1루 1:2,2사 1루 1:2,1.07,0.554,-0.312,64.7%,-0.026
03-23,삼성,2회말,코너,4 박병호,5 (1-2),헛스윙 삼진,무사  1:0,1사  1:0,0.99,0.529,-0.258,41.5%,-0.025
06-09,키움,1회초,헤이수스,4 박병호,6 (3-2),헛스윙 삼진,1사 1루 1:0,2사  1:0,1.05,0.551,-0.309,42.5%,-0.025
06-07,키움,4회초,조영건,4 박병호,7 (1-2),헛스윙 삼진,"2사 1,2루 4:1",이닝종료 4:1,0.95,0.498,-0.498,21.1%,-0.025
06-06,SSG,2회초,오원석,4 박병호,4 (1-2),헛스윙 삼진,무사  0:1,1사  0:1,0.97,0.566,-0.270,63.0%,-0.024
03-28,두산,3회말,김동주,4 박병호,3 (1-1),유격수 땅볼 출루,"1사 2,3루 3:1",2사 1루 3:2,1.92,1.598,-0.371,40.2%,-0.024
04-23,한화,8회말,한승혁,6 박병호,2 (0-1),3루수 병살타 아웃,"무사 1,2루 6:8",2사 3루 6:8,0.41,1.646,-1.232,93.8%,-0.024
07-14,두산,2회초,발라조빅,7 박병호,4 (1-2),중견수 플라이 아웃,2사 1루 0:0,이닝종료 0:0,0.84,0.229,-0.229,55.1%,-0.024
03-30,한화,2회초,페냐,4 박병호,4 (0-2),헛스윙 삼진,무사  0:0,1사  0:0,0.93,0.529,-0.258,52.4%,-0.024
03-27,두산,1회말,최원준,4 박병호,4 (1-2),헛스윙 삼진,2사 3루 1:0,이닝종료 1:0,0.83,0.223,-0.223,39.5%,-0.024
06-04,SSG,2회초,송영진,4 박병호,5 (2-2),루킹 삼진,무사  0:0,1사  0:0,0.93,0.568,-0.271,52.4%,-0.024
06-30,KT,2회초,조이현,6 박병호,3 (1-1),3루수 땅볼 아웃,무사  1:1,1사  1:1,0.93,0.582,-0.278,52.4%,-0.024
05-08,NC,7회말,류진욱,6 박병호,5 (2-2),3루수 땅볼 아웃,"2사 1,3루 4:6",이닝종료 4:6,0.85,0.574,-0.574,86.6%,-0.024
06-19,SSG,2회말,오원석,5 박병호,5 (2-2),헛스윙 삼진,무사  0:0,1사  0:0,0.92,0.574,-0.272,52.8%,-0.023
07-04,KIA,2회말,양현종,6 박병호,4 (1-2),헛스윙 삼진,무사  1:1,1사  1:1,0.92,0.579,-0.278,52.8%,-0.023
05-03,키움,2회말,후라도,6 박병호,2 (0-1),2루수 땅볼 아웃,무사  0:0,1사  0:0,0.92,0.579,-0.277,52.8%,-0.023
05-01,KIA,2회초,양현종,5 박병호,3 (0-2),좌익수 플라이 아웃,무사  1:3,1사  1:3,0.92,0.579,-0.277,72.4%,-0.023
06-16,NC,8회초,김영규,5 박병호,4 (1-2),헛스윙 삼진,무사  3:2,1사  3:2,0.90,0.569,-0.270,27.5%,-0.023
07-17,KIA,8회초,곽도규,7 박병호,6 (1-2),3루수 병살타 아웃,무사 1루 5:10,2사  5:10,0.53,1.020,-0.903,99.4%,-0.023
03-26,두산,3회말,곽빈,4 박병호,3 (0-2),루킹 삼진,무사 1루 1:3,1사 1루 1:3,0.97,0.947,-0.416,76.9%,-0.023
