Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
05-03,롯데,7회말,한현희,5 김영웅,6 (3-2),4구,2사  6:5,2사 1루 6:5,0.94,0.115,0.111,30.4%,0.028
05-08,KIA,7회말,곽도규,5 김영웅,3 (1-1),투수 송구실책 출루,무사  0:1,무사 1루 0:1,0.75,0.585,0.436,81.9%,0.028
05-23,KT,8회말,김민,4 김영웅,4 (1-2),1루수 방면 내야 안타,무사  6:2,무사 1루 6:2,0.60,0.560,0.422,7.1%,0.028
05-08,KIA,11회말,정해영,5 김영웅,5 (3-1),4구,2사  2:2,2사 1루 2:2,1.38,0.115,0.111,56.4%,0.029
03-26,LG,3회초,켈리,9 김영웅,1 (0-0),우익수 방면 1루타,1사  0:1,1사 1루 0:1,0.73,0.272,0.262,61.1%,0.029
06-01,한화,5회말,조동욱,5 김영웅,2 (0-1),좌익수 희생플라이 아웃,"1사 1,3루 4:4",2사 1루 4:5,2.49,1.267,-0.024,68.5%,0.029
05-24,롯데,6회초,구승민,4 김영웅,7 (3-2),4구,"2사 1,2루 5:4",2사 만루 5:4,1.84,0.508,0.418,31.5%,0.030
05-31,한화,5회말,박상원,5 김영웅,5 (3-1),4구,2사 1루 5:4,"2사 1,2루 5:4",1.26,0.245,0.269,40.3%,0.030
04-27,키움,4회초,후라도,6 김영웅,5 (1-2),중견수 방면 1루타,1사  0:0,1사 1루 0:0,0.78,0.303,0.262,49.7%,0.030
05-30,키움,2회말,이종민,5 김영웅,6 (2-2),좌익수 방면 1루타,무사  0:1,무사 1루 0:1,0.77,0.566,0.421,68.9%,0.031
08-07,한화,2회말,류현진,5 김영웅,4 (1-2),1루수 방면 내야 안타,무사  4:0,무사 1루 4:0,0.74,0.597,0.449,20.8%,0.032
08-06,한화,5회말,박상원,5 김영웅,6 (3-2),4구,1사  4:4,1사 1루 4:4,0.87,0.305,0.279,56.9%,0.032
06-11,LG,4회말,정지헌,5 김영웅,2 (1-0),좌익수 방면 1루타,무사  1:2,무사 1루 1:2,0.83,0.564,0.406,72.0%,0.033
05-01,두산,2회초,브랜든,6 김영웅,7 (3-2),4구,무사  1:0,무사 1루 1:0,0.82,0.579,0.426,36.2%,0.033
04-05,KIA,7회초,이형범,7 김영웅,4 (2-1),중견수 방면 2루타,1사 1루 0:5,"1사 2,3루 0:5",0.44,0.546,1.070,93.6%,0.033
