Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
07-20,롯데,4회말,박진,3 윤정빈,6 (3-2),우익수 방면 1루타,2사  4:9,2사 1루 4:9,0.08,0.115,0.112,94.4%,0.002
07-17,KIA,8회초,곽도규,8 윤정빈,5 (2-2),3루수 송구실책 출루,2사  5:10,2사 1루 5:10,0.06,0.117,0.112,99.1%,0.003
07-31,LG,9회초,정지헌,1 윤정빈,5 (3-1),4구,1사 2루 5:11,"1사 1,2루 5:11",0.07,0.813,0.312,99.5%,0.003
08-04,SSG,7회말,이로운,9 윤정빈,1 (0-0),우익수 방면 1루타,무사  3:7,무사 1루 3:7,0.11,0.594,0.447,97.6%,0.004
06-21,두산,8회말,김명신,7 윤정빈,2 (1-0),중견수 방면 1루타,무사 1루 4:7,"무사 1,2루 4:7",0.17,0.992,0.670,98.3%,0.006
07-11,NC,5회말,이준호,7 윤정빈,4 (1-2),좌익수 방면 1루타,2사  4:6,2사 1루 4:6,0.29,0.116,0.114,79.8%,0.008
06-20,SSG,6회말,한두솔,6 윤정빈,5 (3-1),4구,1사 2루 0:2,"1사 1,2루 0:2",0.71,0.806,0.245,86.8%,0.008
07-11,NC,8회말,김재열,7 윤정빈,1 (0-0),우익수 방면 1루타,무사  4:6,무사 1루 4:6,0.23,0.579,0.428,94.9%,0.009
06-11,LG,6회말,백승현,8 윤정빈,5 (1-2),좌익수 방면 1루타,무사  1:4,무사 1루 1:4,0.30,0.564,0.406,92.5%,0.011
06-23,두산,3회말,김동주,6 윤정빈,6 (3-2),우익수 방면 1루타,2사  3:4,2사 1루 3:4,0.39,0.119,0.117,64.7%,0.011
06-16,NC,2회초,김시훈,8 윤정빈,3 (0-2),투수 방면 내야 안타,2사  1:0,2사 1루 1:0,0.39,0.119,0.121,41.9%,0.011
06-18,SSG,4회말,앤더슨,6 윤정빈,3 (1-1),좌익수 방면 1루타,2사  5:2,2사 1루 5:2,0.38,0.118,0.120,18.3%,0.013
08-01,LG,2회초,임찬규,2 윤정빈,7 (3-2),4구,1사 2루 2:0,"1사 1,2루 2:0",0.95,0.813,0.312,27.1%,0.014
08-01,LG,6회초,임찬규,2 윤정빈,6 (3-2),4구,"1사 1,3루 2:0",1사 만루 2:0,1.41,1.326,0.634,14.9%,0.017
07-02,KIA,2회말,네일,8 윤정빈,2 (0-1),사구,1사  0:2,1사 1루 0:2,0.45,0.303,0.262,75.1%,0.017
08-06,한화,2회말,바리아,2 윤정빈,4 (1-2),유격수 땅볼실책 출루,2사 1루 1:2,"2사 1,2루 1:2",0.73,0.239,0.262,65.2%,0.017
