Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
08-04,SSG,2회말,김광현,9 이병헌,4 (3-0),4구,무사  2:2,무사 1루 2:2,0.92,0.594,0.447,58.8%,0.037
04-21,한화,5회초,산체스,9 이병헌,4 (2-1),우익수 방면 2루타,1사  0:3,1사 2루 0:3,0.61,0.295,0.489,82.5%,0.039
04-10,롯데,5회초,윌커슨,8 이병헌,3 (1-1),중견수 방면 1루타,무사  1:4,무사 1루 1:4,0.90,0.558,0.423,80.1%,0.039
05-17,한화,3회말,황준서,8 이병헌,7 (3-2),4구,무사  1:1,무사 1루 1:1,0.99,0.559,0.418,59.5%,0.040
04-28,키움,5회초,문성현,8 이병헌,3 (0-2),중견수 방면 1루타,"1사 1,2루 6:2","1사 1,3루 7:2",0.65,1.045,1.224,4.6%,0.042
04-13,NC,3회말,하트,8 이병헌,4 (1-2),사구,무사  1:0,무사 1루 1:0,1.08,0.560,0.419,47.8%,0.044
05-11,NC,5회초,김시훈,8 이병헌,4 (3-0),4구,무사  0:2,무사 1루 0:2,1.13,0.554,0.425,70.7%,0.048
05-16,SSG,5회초,김광현,9 이병헌,3 (1-1),유격수 방면 내야 안타,무사  1:3,무사 1루 1:3,1.13,0.576,0.418,70.7%,0.048
06-14,NC,5회초,신민혁,8 이병헌,1 (0-0),우익수 방면 1루타,무사  2:3,무사 1루 2:3,1.27,0.569,0.413,58.9%,0.052
05-30,키움,4회말,이종민,8 이병헌,4 (3-0),4구,"무사 1,2루 0:1",무사 만루 0:1,1.61,1.678,0.942,83.0%,0.061
07-12,두산,4회초,곽빈,8 이병헌,3 (1-1),좌익수 방면 1루타,무사 1루 4:4,"무사 1,2루 4:4",1.76,1.006,0.635,39.1%,0.066
06-06,SSG,4회초,오원석,8 이병헌,4 (1-2),사구,"1사 1,2루 0:3",1사 만루 0:3,2.05,1.001,0.851,71.0%,0.067
06-07,키움,8회초,김성민,8 이병헌,4 (1-2),좌익수 방면 1루타,무사  5:7,무사 1루 5:7,1.45,0.563,0.411,79.9%,0.067
05-03,롯데,9회말,김원중,7 이병헌,6 (3-2),4구,1사 1루 8:7,"1사 1,2루 8:7",4.68,0.569,0.528,33.5%,0.126
04-13,NC,6회말,하트,8 이병헌,5 (2-2),좌익수 방면 1루타,2사 2루 1:1,2사 2루 1:2,1.88,0.392,1.000,72.9%,0.176
