Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04-28,키움,1회초,하영민,3 구자욱,7 (3-2),좌익수 방면 2루타,1사 1루 0:0,1사 2루 1:0,1.15,0.561,1.233,38.5%,0.112
04-21,한화,7회초,한승혁,3 구자욱,4 (3-0),4구,"1사 1,2루 2:3",1사 만루 2:3,3.79,1.004,0.814,50.8%,0.113
07-10,NC,1회말,카스타노,3 구자욱,2 (1-0),중견수 방면 2루타,1사 1루 1:0,1사 2루 1:1,1.23,0.562,1.239,56.6%,0.118
04-23,LG,6회말,임찬규,3 구자욱,2 (1-0),좌익수 방면 2루타,1사 1루 3:0,1사 2루 3:1,1.40,0.540,1.225,28.1%,0.119
06-15,NC,6회초,하트,3 구자욱,6 (3-2),우중간 홈런,무사  2:1,무사  3:1,0.97,0.569,1.000,21.7%,0.120
07-19,롯데,6회말,김진욱,3 구자욱,1 (0-0),우익수 뒤 홈런,2사 1루 4:0,2사  4:2,0.56,0.226,1.889,19.6%,0.123
05-11,NC,7회초,김영규,2 구자욱,6 (3-2),1루수 방면 1루타,"2사 1,2루 0:2","2사 1,3루 1:2",2.49,0.503,1.064,69.4%,0.131
06-02,한화,8회말,이민우,3 구자욱,6 (3-2),중견수 방면 2루타,무사  0:0,무사 2루 0:0,1.81,0.567,0.703,74.0%,0.133
04-27,키움,5회초,후라도,3 구자욱,2 (1-0),좌익수 방면 1루타,2사 2루 0:0,2사 1루 1:0,1.60,0.403,0.835,38.7%,0.134
06-12,LG,6회말,손주영,3 구자욱,1 (0-0),우익수 뒤 홈런,무사  4:2,무사  4:3,1.38,0.567,1.000,39.2%,0.138
04-14,NC,3회말,이재학,3 구자욱,2 (1-0),우익수 방면 2루타,"2사 1,2루 1:0","2사 2,3루 1:1",2.02,0.509,1.092,56.6%,0.139
03-27,LG,12회초,이우찬,3 구자욱,2 (1-0),중견수 방면 1루타,1사 1루 2:2,"1사 1,2루 2:2",1.80,0.275,0.696,41.9%,0.140
