Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
07-20,롯데,3회말,이인복,1 김지찬,5 (3-1),4구,1사 1루 3:1,"1사 1,2루 3:1",1.39,0.571,0.535,37.1%,0.044
04-30,두산,4회초,곽빈,1 김지찬,3 (0-2),중견수 방면 1루타,무사  0:2,무사 1루 0:2,1.04,0.582,0.423,68.9%,0.044
04-23,LG,6회말,임찬규,1 김지찬,3 (1-1),우익수 방면 1루타,무사  3:0,무사 1루 3:0,1.05,0.540,0.422,20.5%,0.047
08-02,SSG,6회말,엘리아스,1 김지찬,2 (0-1),좌익수 방면 1루타,무사  3:0,무사 1루 3:0,1.05,0.592,0.444,20.5%,0.047
05-11,NC,5회초,김시훈,1 김지찬,3 (1-1),투수 방면 번트 내야 안타,1사 1루 0:2,"1사 1,2루 0:2",1.51,0.546,0.450,70.2%,0.049
04-21,한화,7회초,한승혁,1 김지찬,5 (3-1),4구,1사  2:3,1사 1루 2:3,1.25,0.295,0.257,69.0%,0.049
04-30,두산,6회초,곽빈,1 김지찬,5 (2-2),투수 방면 내야 안타,무사  0:2,무사 1루 0:2,1.23,0.582,0.423,73.0%,0.053
07-28,KT,5회말,조이현,1 김지찬,2 (1-0),우익수 방면 2루타,1사 1루 0:2,"1사 2,3루 0:2",0.75,0.574,1.024,87.0%,0.054
07-21,롯데,7회말,반즈,1 김지찬,5 (3-1),4구,1사  4:3,1사 1루 4:3,1.41,0.302,0.269,36.5%,0.054
07-20,롯데,1회말,이인복,1 김지찬,3 (0-2),좌익수 방면 2루타,무사  3:0,무사 2루 3:0,0.83,0.588,0.688,31.8%,0.055
05-09,KIA,7회말,곽도규,1 김지찬,5 (3-1),4구,1사 1루 2:2,"1사 1,2루 2:2",2.01,0.570,0.532,64.5%,0.055
04-28,키움,4회초,하영민,1 김지찬,1 (0-0),우익수 방면 2루타,1사 2루 5:2,1사 2루 6:2,0.70,0.793,1.000,11.2%,0.059
03-27,LG,9회초,유영찬,1 김지찬,1 (0-0),우익수 방면 1루타,1사  2:2,1사 1루 2:2,1.80,0.275,0.262,50.0%,0.060
07-13,두산,6회초,홍건희,9 김지찬,6 (3-2),4구,무사  4:5,무사 1루 4:5,1.45,0.585,0.435,60.3%,0.060
07-11,NC,3회말,신민혁,9 김지찬,2 (0-1),투수 방면 번트 내야 안타,무사 1루 0:0,"무사 1,2루 0:0",1.61,1.007,0.630,65.4%,0.060
06-23,두산,4회말,정철원,1 김지찬,1 (0-0),좌익수 방면 1루타,1사 1루 3:4,"1사 1,3루 3:4",1.11,0.562,0.699,75.1%,0.061
08-03,SSG,2회말,송영진,1 김지찬,3 (2-0),우익수 방면 1루타,1사 2루 0:2,1사 1루 0:3,0.86,0.797,0.787,82.6%,0.062
05-08,KIA,6회말,양현종,1 김지찬,6 (1-2),우익수 방면 2루타,1사  0:0,1사 2루 0:0,0.98,0.301,0.512,60.5%,0.064
04-20,한화,8회초,장지수,1 김지찬,4 (2-1),좌익수 방면 2루타,무사  1:0,무사 2루 1:0,0.90,0.563,0.723,18.8%,0.064
04-06,KIA,8회초,최지민,1 김지찬,5 (3-1),4구,무사  4:4,무사 1루 4:4,1.85,0.552,0.423,43.2%,0.068
04-28,키움,3회초,하영민,1 김지찬,1 (0-0),우익수 방면 2루타,무사  1:2,무사 2루 1:2,1.03,0.577,0.701,54.4%,0.070
07-21,롯데,5회말,반즈,1 김지찬,3 (1-1),좌익수 방면 1루타,무사 1루 4:1,"무사 1,2루 4:1",1.78,1.025,0.634,30.3%,0.072
08-08,한화,7회말,김범수,1 김지찬,7 (3-2),좌익수 방면 1루타,무사  4:3,무사 1루 4:3,1.91,0.597,0.449,43.7%,0.077
05-25,롯데,5회초,한현희,2 김지찬,4 (1-2),사구,"1사 1,2루 2:4",1사 만루 2:4,2.61,0.986,0.786,62.0%,0.082
07-13,두산,4회초,시라카와,9 김지찬,6 (3-2),유격수 포구실책 출루,"2사 1,2루 2:5","2사 1,2루 3:5",1.58,0.475,1.000,73.9%,0.084
04-10,롯데,8회초,박진형,1 김지찬,2 (1-0),우익수 방면 1루타,2사 3루 5:7,2사 1루 6:7,1.65,0.443,0.793,81.1%,0.084
06-02,한화,5회말,문동주,1 김지찬,3 (1-1),우익수 방면 1루타,1사 1루 0:0,"1사 1,3루 0:0",1.56,0.552,0.715,65.6%,0.087
04-13,NC,9회말,이용찬,1 김지찬,3 (2-0),중견수 방면 1루타,무사  4:2,무사 1루 4:2,1.83,0.560,0.419,18.3%,0.092
06-01,한화,5회말,조동욱,1 김지찬,3 (1-1),우익수 방면 2루타,무사  4:3,무사 2루 4:3,1.36,0.567,0.703,50.4%,0.092
07-19,롯데,7회말,한현희,8 김지찬,2 (0-1),우익수 방면 2루타,무사  5:3,무사 2루 5:3,1.54,0.585,0.678,31.5%,0.100
04-26,키움,5회초,김인범,1 김지찬,1 (0-0),좌익수 방면 1루타,"2사 1,3루 0:0","2사 1,2루 1:0",2.42,0.567,0.914,36.7%,0.133
06-19,SSG,5회말,오원석,9 김지찬,3 (2-0),1루수 포구실책 출루,"2사 1,2루 1:0","2사 2,3루 1:1",2.55,0.502,1.110,57.8%,0.175
03-23,KT,7회초,주권,1 김지찬,4 (1-2),좌익수 방면 1루타,2사 2루 1:2,2사 1루 2:2,2.27,0.380,0.841,54.6%,0.181
05-03,롯데,8회말,최준용,1 김지찬,4 (2-1),유격수 방면 1루타,"1사 2,3루 6:5","1사 1,3루 6:6",4.20,1.585,0.715,75.1%,0.202
06-26,LG,8회초,김진성,5 김지찬,7 (2-2),좌익수 방면 1루타,2사 만루 0:1,2사 만루 1:1,6.96,0.863,1.000,46.6%,0.227
06-04,SSG,8회초,문승원,1 김지찬,9 (3-2),우익수 방면 1루타,"2사 1,2루 0:1","2사 1,3루 1:1",4.10,0.505,1.050,49.9%,0.264
06-21,두산,3회말,최준호,1 김지찬,2 (1-0),우익수 뒤 홈런,"1사 1,2루 1:0",1사  1:3,2.41,1.052,2.250,75.2%,0.271
04-09,롯데,6회초,나균안,8 김지찬,1 (0-0),우익수 뒤 홈런,"1사 1,2루 0:1",1사  3:1,3.23,0.970,2.303,23.4%,0.365
