Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04-04,키움,2회말,후라도,5 강민호,7 (3-2),루킹 삼진,1사  0:0,2사  0:0,0.67,0.282,-0.171,51.1%,-0.017
05-11,NC,9회초,이용찬,1 강민호,5 (3-1),우익수 플라이 아웃,무사  3:2,1사  3:2,0.66,0.554,-0.269,17.9%,-0.017
04-20,한화,9회초,장민재,6 강민호,5 (2-2),3루수 땅볼 아웃,무사  1:0,1사  1:0,0.66,0.563,-0.268,17.9%,-0.017
04-14,NC,3회말,이재학,5 강민호,3 (1-1),중견수 플라이 아웃,2사 1루 1:3,이닝종료 1:3,0.58,0.242,-0.242,73.3%,-0.016
04-27,키움,2회초,후라도,7 강민호,2 (1-0),2루수 땅볼 아웃,1사  0:0,2사  0:0,0.65,0.303,-0.182,54.0%,-0.016
08-02,SSG,4회말,엘리아스,4 강민호,1 (0-0),우익수 플라이 아웃,1사  3:0,2사  3:0,0.65,0.305,-0.187,17.0%,-0.016
06-11,LG,1회말,김유영,6 강민호,1 (0-0),3루수 땅볼 아웃,2사 1루 0:2,이닝종료 0:2,0.57,0.242,-0.242,70.1%,-0.016
03-30,SSG,6회말,엘리아스,1 강민호,3 (2-0),2루수 땅볼 아웃,2사 1루 8:4,이닝종료 8:4,0.56,0.225,-0.225,5.7%,-0.016
05-03,롯데,5회말,한현희,7 강민호,2 (0-1),유격수 땅볼 아웃,1사  4:5,2사  4:5,0.63,0.301,-0.185,67.3%,-0.016
06-21,두산,4회말,최준호,4 강민호,2 (0-1),유격수 직선타 아웃,무사  1:3,1사  1:3,0.60,0.574,-0.272,77.4%,-0.015
07-04,KIA,6회말,황동하,4 강민호,2 (0-1),3루수 직선타 아웃,1사  2:3,2사  2:3,0.62,0.302,-0.184,70.6%,-0.015
06-23,두산,4회말,홍건희,8 강민호,4 (1-2),투수 땅볼 아웃,무사  1:3,1사  1:3,0.60,0.579,-0.277,77.4%,-0.015
05-04,롯데,4회말,윌커슨,6 강민호,3 (1-1),투수 땅볼 아웃,1사  1:2,2사  1:2,0.61,0.301,-0.185,65.1%,-0.015
03-31,SSG,2회말,더거,5 강민호,4 (2-1),유격수 땅볼 아웃,1사  3:0,2사  3:0,0.60,0.275,-0.168,21.1%,-0.015
06-06,SSG,7회초,이로운,9 강민호,1 (0-0),유격수 땅볼 아웃,무사  0:4,1사  0:4,0.59,0.566,-0.270,95.8%,-0.015
04-07,KIA,5회초,양현종,4 강민호,4 (0-2),유격수 땅볼 아웃,2사  3:3,이닝종료 3:3,0.57,0.112,-0.112,56.6%,-0.015
06-02,한화,8회말,박상원,7 강민호,1 (0-0),중견수 플라이 아웃,2사 1루 0:1,이닝종료 0:1,0.52,0.243,-0.243,83.8%,-0.015
04-12,NC,4회말,카스타노,6 강민호,2 (1-0),우익수 플라이 아웃,무사  6:1,1사  6:1,0.55,0.562,-0.269,7.5%,-0.014
03-31,SSG,4회말,더거,5 강민호,1 (0-0),2루수 플라이 아웃,2사  3:2,이닝종료 3:2,0.55,0.107,-0.107,35.9%,-0.014
06-19,SSG,4회말,오원석,4 강민호,4 (2-1),2루수 땅볼 아웃,2사  1:0,이닝종료 1:0,0.55,0.120,-0.120,35.9%,-0.014
07-21,롯데,5회말,반즈,4 강민호,1 (0-0),유격수 땅볼 아웃,"1사 2,3루 4:2",2사 3루 4:3,2.33,1.585,-0.161,39.4%,-0.014
06-27,LG,8회초,김대현,5 강민호,4 (1-2),헛스윙 삼진,2사 1루 2:0,이닝종료 2:0,0.47,0.239,-0.239,16.2%,-0.013
03-24,KT,3회초,엄상백,5 강민호,2 (0-1),2루수 플라이 아웃,무사  3:0,1사  3:0,0.52,0.529,-0.258,21.5%,-0.013
06-13,LG,4회말,켈리,6 강민호,4 (1-2),루킹 삼진,2사  2:2,이닝종료 2:2,0.52,0.120,-0.120,50.0%,-0.013
04-05,KIA,4회초,크로우,5 강민호,2 (1-0),1루수 땅볼 아웃,2사  0:1,이닝종료 0:1,0.51,0.111,-0.111,68.8%,-0.013
04-19,한화,4회초,페냐,5 강민호,2 (0-1),유격수 땅볼 아웃,2사  0:1,이닝종료 0:1,0.51,0.118,-0.118,68.8%,-0.013
04-14,NC,5회말,이준호,5 강민호,6 (2-2),유격수 병살타 아웃,1사 1루 2:6,이닝종료 2:6,0.29,0.549,-0.549,92.1%,-0.013
07-11,NC,4회말,이준호,4 강민호,4 (2-1),좌익수 플라이 아웃,"2사 1,2루 2:6",이닝종료 2:6,0.50,0.476,-0.476,90.0%,-0.013
07-26,KT,9회말,박영현,4 강민호,2 (0-1),우익수 플라이 아웃,1사  4:1,2사  4:1,0.50,0.301,-0.186,0.5%,-0.013
04-26,키움,8회초,김재웅,7 강민호,6 (2-2),선행주자아웃 출루,"2사 1,2루 3:0",이닝종료 3:0,0.50,0.481,-0.481,8.4%,-0.013
05-31,한화,3회말,장시환,6 강민호,2 (0-1),3루수 땅볼 아웃,2사  5:4,이닝종료 5:4,0.49,0.120,-0.120,37.5%,-0.013
05-21,KT,4회말,육청명,8 강민호,2 (0-1),우익수 플라이 아웃,2사  3:1,이닝종료 3:1,0.49,0.118,-0.118,24.5%,-0.013
04-11,롯데,6회초,이인복,7 강민호,5 (2-2),유격수 땅볼 아웃,1사 1루 2:0,2사 2루 2:0,0.87,0.552,-0.161,22.8%,-0.012
05-17,한화,6회말,장민재,8 강민호,8 (3-2),유격수 땅볼 아웃,2사 3루 2:5,이닝종료 2:5,0.43,0.392,-0.392,89.7%,-0.012
06-15,NC,6회초,배재환,5 강민호,1 (0-0),1루수 파울플라이 아웃,1사  3:1,2사  3:1,0.49,0.299,-0.181,24.6%,-0.012
05-26,롯데,5회초,김상수,6 강민호,3 (1-1),2루수 플라이 아웃,2사  1:3,이닝종료 1:3,0.47,0.118,-0.118,81.5%,-0.012
03-24,KT,5회초,김민수,5 강민호,2 (1-0),3루수 땅볼 아웃,무사  4:1,1사  4:1,0.47,0.529,-0.258,17.2%,-0.012
07-23,한화,5회초,박상원,4 강민호,1 (0-0),유격수 직선타 아웃,2사  3:2,이닝종료 3:2,0.47,0.115,-0.115,41.2%,-0.012
05-14,SSG,7회초,최민준,8 강민호,5 (3-1),선행주자아웃 출루,2사 1루 0:4,이닝종료 0:4,0.41,0.233,-0.233,97.2%,-0.012
05-09,KIA,8회말,김도현,8 강민호,2 (0-1),2루수 플라이 아웃,"무사 2,3루 2:4","1사 2,3루 2:4",0.29,2.322,-0.727,96.4%,-0.012
06-20,SSG,3회말,송영진,4 강민호,4 (2-1),2루수 땅볼 아웃,1사  0:2,2사  0:2,0.45,0.303,-0.182,74.1%,-0.011
07-04,KIA,3회말,양현종,4 강민호,6 (3-2),3루수 직선타 아웃,1사  1:3,2사  1:3,0.45,0.302,-0.184,74.1%,-0.011
06-25,LG,3회초,켈리,8 강민호,4 (1-2),유격수 땅볼 아웃,1사  0:4,2사  0:4,0.44,0.303,-0.183,89.1%,-0.011
05-08,KIA,2회말,양현종,6 강민호,6 (2-2),유격수 직선타 아웃,2사  0:0,이닝종료 0:0,0.43,0.115,-0.115,50.0%,-0.011
05-04,롯데,6회말,윌커슨,6 강민호,1 (0-0),2루수 플라이 아웃,2사  1:2,이닝종료 1:2,0.42,0.115,-0.115,69.6%,-0.011
04-05,KIA,8회초,김건국,5 강민호,1 (0-0),유격수 땅볼 아웃,1사 3루 1:5,2사  2:5,0.66,0.976,0.136,96.7%,-0.011
