Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04-21,한화,2회초,산체스,6 이성규,10 (3-2),좌익수 방면 1루타,2사  0:0,2사 1루 0:0,0.42,0.119,0.123,52.7%,0.013
06-07,키움,3회초,조영건,6 이성규,5 (3-1),사구,2사 1루 3:1,"2사 1,2루 3:1",0.65,0.244,0.254,29.0%,0.015
07-17,KIA,5회초,양현종,5 이성규,5 (3-1),4구,2사 1루 5:9,"2사 1,2루 5:9",0.51,0.229,0.247,90.4%,0.015
07-10,NC,5회말,송명기,7 이성규,5 (2-2),좌익수 방면 1루타,2사 3루 3:8,2사 1루 3:9,0.22,0.422,0.811,97.7%,0.016
05-30,키움,8회말,박승주,6 이성규,7 (3-2),우익수 뒤 홈런,1사  0:3,1사  0:4,0.08,0.298,1.000,98.7%,0.017
08-01,LG,1회초,임찬규,7 이성규,5 (3-1),4구,"2사 1,3루 2:0",2사 만루 2:0,1.35,0.522,0.309,29.4%,0.017
07-23,한화,8회초,한승혁,6 이성규,4 (1-2),2루수 땅볼 아웃,"1사 2,3루 3:4",2사 3루 4:4,3.65,1.588,-0.160,51.7%,0.017
07-14,두산,9회초,박정수,5 이성규,5 (2-2),사구,2사 만루 5:2,2사 만루 6:2,0.41,0.790,1.000,1.3%,0.017
06-11,LG,4회말,정지헌,1 이성규,4 (3-0),4구,"2사 1,2루 1:3",2사 만루 1:3,1.14,0.498,0.359,80.3%,0.018
07-10,NC,4회말,카스타노,7 이성규,1 (0-0),중견수 방면 3루타,무사  1:6,무사 3루 1:6,0.16,0.579,0.828,96.7%,0.019
07-17,KIA,4회초,양현종,5 이성규,7 (3-2),4구,2사 1루 0:3,"2사 1,2루 0:3",0.73,0.229,0.247,82.3%,0.020
05-12,NC,2회초,이재학,7 이성규,2 (1-0),좌익수 희생플라이 아웃,1사 3루 1:0,2사  2:0,1.30,1.052,0.064,32.9%,0.022
04-23,LG,5회말,임찬규,8 이성규,5 (2-2),우익수 방면 2루타,2사  3:0,2사 2루 3:0,0.40,0.106,0.277,16.6%,0.022
06-11,LG,6회말,백승현,1 이성규,3 (1-1),우익수 방면 1루타,1사 1루 1:4,"1사 1,3루 1:4",0.39,0.554,0.695,93.7%,0.023
08-01,LG,7회초,백승현,7 이성규,5 (3-1),사구,1사 1루 2:0,"1사 1,2루 2:0",0.79,0.581,0.544,15.7%,0.023
06-14,NC,9회초,송명기,9 이성규,3 (1-1),2루수 방면 내야 안타,무사  5:4,무사 1루 5:4,0.66,0.569,0.413,13.8%,0.024
04-14,NC,6회말,이준호,7 이성규,4 (2-1),좌익수 뒤 홈런,1사  2:6,1사  2:7,0.13,0.295,1.000,97.3%,0.024
05-02,두산,5회초,최원준,2 이성규,1 (0-0),사구,1사 2루 1:1,"1사 1,2루 1:1",1.66,0.814,0.281,45.0%,0.024
08-04,SSG,6회말,서진용,5 이성규,1 (0-0),중견수 방면 2루타,1사  3:5,1사 2루 3:5,0.37,0.305,0.496,86.0%,0.025
08-03,SSG,3회말,송영진,6 이성규,7 (3-2),중견수 방면 1루타,무사 1루 0:3,"무사 1,2루 0:3",0.70,1.040,0.640,88.5%,0.025
07-21,롯데,2회말,반즈,6 이성규,1 (0-0),2루수 방면 1루타,1사  1:1,1사 1루 1:1,0.67,0.302,0.269,55.3%,0.026
07-14,두산,2회초,발라조빅,5 이성규,7 (3-2),4구,1사  0:0,1사 1루 0:0,0.65,0.301,0.268,49.8%,0.026
06-16,NC,6회초,김시훈,7 이성규,6 (1-2),3루수 송구실책 출루,1사  3:2,1사 1루 3:2,0.72,0.300,0.262,33.6%,0.027
07-30,LG,5회초,엔스,7 이성규,8 (3-2),4구,무사  3:1,무사 1루 3:1,0.69,0.586,0.436,21.8%,0.027
06-07,키움,2회초,조영건,6 이성규,1 (0-0),좌익수 방면 1루타,1사  0:1,1사 1루 0:1,0.68,0.296,0.256,60.3%,0.027
08-06,한화,8회말,김범수,8 이성규,4 (3-0),4구,1사  8:5,1사 1루 8:5,0.65,0.305,0.279,8.8%,0.031
08-06,한화,2회말,바리아,8 이성규,4 (1-2),유격수 방면 내야 안타,무사  1:2,무사 1루 1:2,0.77,0.594,0.447,68.9%,0.031
07-24,한화,2회초,류현진,6 이성규,4 (1-2),사구,무사 2루 0:0,"무사 1,2루 0:0",1.29,1.273,0.401,40.5%,0.032
05-30,키움,4회말,이종민,6 이성규,2 (1-0),좌익수 방면 1루타,무사  0:1,무사 1루 0:1,0.83,0.566,0.421,72.0%,0.033
06-12,LG,5회말,손주영,1 이성규,4 (2-1),좌익수 방면 1루타,1사  4:2,1사 1루 4:2,0.87,0.297,0.263,28.8%,0.036
07-03,KIA,5회말,알드레드,7 이성규,7 (2-2),좌익수 방면 1루타,1사  3:1,1사 1루 3:1,0.87,0.303,0.262,28.8%,0.036
04-17,두산,2회말,김호준,8 이성규,5 (2-2),사구,무사 1루 0:2,"무사 1,2루 0:2",0.99,0.953,0.663,81.1%,0.036
06-05,SSG,2회초,앤더슨,7 이성규,4 (1-2),좌익수 방면 1루타,무사 3루 1:0,무사 1루 2:0,0.97,1.504,0.479,27.2%,0.037
06-06,SSG,4회초,오원석,5 이성규,4 (3-0),4구,무사  0:3,무사 1루 0:3,0.88,0.566,0.414,78.0%,0.038
07-21,롯데,4회말,반즈,6 이성규,5 (2-2),좌익수 방면 1루타,1사 1루 4:1,"1사 1,2루 4:1",1.29,0.571,0.535,25.7%,0.043
04-25,LG,7회말,김진성,7 이성규,4 (1-2),좌익수 방면 2루타,1사  5:2,1사 2루 5:2,0.70,0.299,0.498,14.1%,0.045
08-02,SSG,7회말,문승원,7 이성규,1 (0-0),좌익수 방면 1루타,1사  3:1,1사 1루 3:1,1.06,0.305,0.276,22.2%,0.046
06-13,LG,5회말,켈리,7 이성규,1 (0-0),중견수 방면 1루타,무사  2:2,무사 1루 2:2,1.17,0.570,0.412,61.2%,0.046
06-05,SSG,7회초,고효준,7 이성규,6 (3-2),좌익수 뒤 홈런,무사  2:6,무사  3:6,0.59,0.567,1.000,89.7%,0.046
04-26,키움,5회초,김인범,8 이성규,7 (3-2),4구,1사 1루 0:0,"1사 1,2루 0:0",1.59,0.536,0.433,45.0%,0.047
06-26,LG,5회초,엔스,8 이성규,4 (1-2),중견수 방면 1루타,1사 1루 0:0,"1사 1,2루 0:0",1.59,0.561,0.485,45.0%,0.047
05-01,두산,5회초,브랜든,7 이성규,3 (1-1),좌익수 방면 1루타,무사  1:1,무사 1루 1:1,1.19,0.579,0.426,45.3%,0.047
05-12,NC,5회초,이재학,7 이성규,7 (3-2),4구,무사  2:2,무사 1루 2:2,1.19,0.592,0.444,45.3%,0.047
05-01,두산,7회초,김명신,7 이성규,2 (0-1),좌익수 뒤 홈런,"2사 1,2루 6:2",2사  9:2,0.39,0.480,2.636,0.9%,0.049
07-21,롯데,8회말,김상수,6 이성규,2 (1-0),사구,1사  5:3,1사 1루 5:3,1.15,0.302,0.269,17.2%,0.053
05-29,키움,5회말,헤이수스,2 이성규,1 (0-0),좌익수 뒤 홈런,1사 1루 8:2,1사  8:4,0.45,0.551,1.744,9.9%,0.055
05-31,한화,1회말,김규연,3 이성규,2 (0-1),3루수 야수선택으로 출루,1사 3루 0:0,1사 1루 0:1,1.35,1.037,0.520,64.9%,0.055
08-07,한화,5회말,류현진,6 이성규,2 (0-1),좌익수 방면 2루타,1사  6:6,1사 2루 6:6,0.87,0.307,0.508,59.2%,0.056
06-11,LG,1회말,김유영,1 이성규,2 (1-0),우익수 포구실책 출루,무사  0:0,무사 2루 0:0,0.87,0.564,0.724,60.7%,0.059
06-15,NC,9회초,김재열,1 이성규,4 (1-2),좌익수 방면 1루타,1사  4:4,1사 1루 4:4,1.80,0.299,0.263,50.0%,0.060
08-08,한화,6회말,김서현,6 이성규,4 (2-1),중견수 방면 1루타,무사  4:3,무사 1루 4:3,1.57,0.597,0.449,45.6%,0.063
03-30,SSG,3회말,엘리아스,2 이성규,5 (2-2),좌익수 방면 1루타,무사 만루 6:0,무사 만루 6:1,1.76,2.438,1.000,23.8%,0.069
07-20,롯데,4회말,이인복,7 이성규,2 (1-0),좌중간 홈런,무사  4:6,무사  4:7,0.60,0.588,1.000,86.4%,0.075
06-12,LG,7회말,김진수,1 이성규,6 (3-2),4구,1사 1루 4:3,"1사 1,2루 4:3",2.58,0.560,0.463,44.0%,0.075
04-10,롯데,8회초,김상수,7 이성규,5 (2-2),사구,무사 1루 4:7,"무사 1,2루 4:7",1.66,0.981,0.687,81.4%,0.076
07-13,두산,5회초,이영하,5 이성규,10 (3-2),4구,무사 1루 4:5,"무사 1,2루 4:5",2.10,1.020,0.630,50.9%,0.080
08-07,한화,7회말,이상규,6 이성규,6 (2-2),좌익수 방면 2루타,1사 2루 6:7,1사 2루 6:8,1.05,0.814,1.000,89.9%,0.090
07-19,롯데,7회말,김강현,7 이성규,7 (3-2),좌중간 홈런,무사  5:2,무사  5:3,1.07,0.585,1.000,21.5%,0.092
08-03,SSG,1회말,송영진,6 이성규,1 (0-0),좌익수 방면 2루타,"2사 1,3루 0:1","2사 2,3루 0:2",1.53,0.524,1.098,74.2%,0.094
05-01,두산,6회초,최지강,7 이성규,1 (0-0),중견수 방면 1루타,무사 만루 2:2,무사 만루 3:2,2.67,2.585,1.000,17.4%,0.097
04-14,NC,4회말,이재학,7 이성규,3 (2-0),우중간 홈런,1사  2:3,1사  2:4,0.61,0.295,1.000,77.4%,0.107
04-06,KIA,8회초,최지민,4 이성규,2 (1-0),사구,"1사 1,2루 4:4",1사 만루 4:4,3.79,1.000,0.796,32.0%,0.111
07-10,NC,1회말,카스타노,7 이성규,6 (3-2),우중간 홈런,"1사 1,3루 1:3",1사  1:6,1.29,1.291,2.011,90.3%,0.121
04-18,두산,1회말,곽빈,6 이성규,3 (1-1),좌익수 방면 2루타,1사 만루 0:1,"1사 2,3루 0:3",2.10,1.649,1.941,85.5%,0.126
06-15,NC,6회초,하트,1 이성규,5 (2-2),좌익수 뒤 홈런,무사  0:1,무사  1:1,1.45,0.569,1.000,50.0%,0.163
06-19,SSG,6회말,오원석,5 이성규,4 (2-1),중견수 방면 1루타,"1사 1,2루 2:1","1사 1,2루 2:2",3.44,1.048,1.000,62.7%,0.168
06-09,키움,5회초,헤이수스,2 이성규,4 (0-2),좌익수 방면 1루타,2사 만루 1:0,"2사 1,2루 3:0",2.99,0.853,1.645,16.4%,0.173
05-31,한화,6회말,박상원,3 이성규,2 (1-0),중견수 방면 2루타,"2사 1,3루 5:4","2사 2,3루 5:5",3.21,0.561,1.050,58.7%,0.194
05-17,한화,5회말,황준서,7 이성규,1 (0-0),좌익수 뒤 홈런,무사 1루 1:1,무사  1:3,1.88,0.977,1.582,81.5%,0.203
07-12,두산,3회초,곽빈,5 이성규,2 (0-1),좌익수 뒤 홈런,2사 1루 2:3,2사  4:3,0.93,0.228,1.888,42.3%,0.221
04-23,LG,6회말,이우찬,8 이성규,5 (2-2),좌익수 뒤 홈런,1사 만루 3:3,1사  3:7,3.53,1.670,2.605,94.9%,0.239
05-16,SSG,8회초,조병현,7 이성규,3 (0-2),좌익수 뒤 홈런,2사 2루 3:3,2사  5:3,2.75,0.400,1.719,15.6%,0.374
08-02,SSG,9회말,조병현,7 이성규,5 (1-2),우익수 뒤 홈런,1사  3:2,1사  3:3,2.63,0.305,1.000,58.0%,0.468
