Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
04-09,롯데,3회초,나균안,1 김현준,3 (2-0),2루수 땅볼 아웃,1사  0:1,2사  0:1,0.73,0.273,-0.168,65.9%,-0.018
03-29,SSG,1회말,김광현,1 김현준,6 (3-2),헛스윙 삼진,무사  4:0,1사  4:0,0.71,0.536,-0.262,17.3%,-0.018
08-07,한화,1회말,류현진,1 김현준,2 (0-1),2루수 땅볼 아웃,무사  4:0,1사  4:0,0.71,0.597,-0.291,17.3%,-0.018
07-21,롯데,3회말,반즈,9 김현준,3 (1-1),좌익수 파울플라이 아웃,1사  1:1,2사  1:1,0.72,0.302,-0.187,51.2%,-0.018
04-12,NC,2회말,카스타노,1 김현준,4 (0-2),1루수 땅볼 아웃,2사 1루 5:1,이닝종료 5:1,0.61,0.240,-0.240,13.8%,-0.017
08-01,LG,2회초,임찬규,9 김현준,3 (0-2),헛스윙 삼진,무사  2:0,1사  2:0,0.68,0.592,-0.287,31.6%,-0.017
08-08,한화,2회말,문동주,9 김현준,4 (1-2),낫아웃 삼진,1사  2:2,2사  2:2,0.67,0.307,-0.187,51.1%,-0.017
04-05,KIA,1회초,크로우,2 김현준,7 (3-2),루킹 삼진,1사  0:0,2사  0:0,0.62,0.283,-0.171,53.8%,-0.016
04-06,KIA,1회초,윤영철,2 김현준,4 (2-1),좌익수 플라이 아웃,1사  0:0,2사  0:0,0.62,0.283,-0.170,53.8%,-0.016
07-26,KT,1회말,엄상백,2 김현준,4 (1-2),헛스윙 삼진,1사  0:0,2사  0:0,0.62,0.301,-0.186,51.0%,-0.015
08-06,한화,6회말,김서현,9 김현준,2 (0-1),2루수 땅볼 아웃,2사  6:4,이닝종료 6:4,0.58,0.118,-0.118,18.1%,-0.015
04-05,KIA,3회초,크로우,2 김현준,6 (2-2),낫아웃 삼진,2사  0:1,이닝종료 0:1,0.46,0.111,-0.111,67.1%,-0.012
07-30,LG,3회초,엔스,9 김현준,3 (0-2),투수 땅볼 아웃,2사  0:1,이닝종료 0:1,0.46,0.116,-0.116,67.1%,-0.012
