Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
08-03,SSG,8회말,장지훈,7 류지혁,6 (3-2),루킹 삼진,1사  4:12,2사  4:12,0.00,0.305,-0.187,100.0%,0.000
07-31,LG,9회초,최동환,7 류지혁,5 (1-2),우익수 방면 1루타,1사 1루 2:11,"1사 1,3루 2:11",0.00,0.581,0.745,100.0%,0.000
05-24,롯데,8회초,홍민기,5 류지혁,10 (3-2),2루수 방면 내야 안타,"1사 2,3루 7:4",1사 만루 7:4,0.45,1.596,0.174,4.4%,0.001
05-24,롯데,1회초,나균안,5 류지혁,5 (1-2),선행주자아웃 출루,1사 만루 0:0,"2사 1,3루 1:0",2.54,1.770,-0.204,40.2%,0.001
06-08,키움,8회초,김선기,6 류지혁,6 (3-2),유격수 송구실책 출루,무사  2:10,무사 1루 2:10,0.03,0.562,0.411,99.7%,0.002
04-27,키움,8회초,이명종,5 류지혁,5 (2-2),2루수 땅볼실책 출루,"2사 1,2루 7:0","2사 1,2루 8:0",0.03,0.504,1.000,0.2%,0.002
05-12,NC,9회초,신영우,5 류지혁,1 (0-0),중견수 희생플라이 아웃,"1사 2,3루 6:2",2사 2루 7:2,0.11,1.604,-0.213,0.7%,0.002
07-12,두산,9회초,박치국,2 류지혁,1 (0-0),중견수 방면 1루타,무사  8:5,무사 1루 8:5,0.13,0.580,0.427,2.8%,0.005
03-24,KT,5회초,김민수,7 류지혁,7 (3-2),4구,2사  4:1,2사 1루 4:1,0.24,0.104,0.117,17.4%,0.007
05-22,KT,6회말,쿠에바스,5 류지혁,4 (1-2),중견수 방면 1루타,2사  1:3,2사 1루 1:3,0.26,0.116,0.121,83.3%,0.007
05-01,두산,6회초,이병헌,8 류지혁,7 (3-2),선행주자아웃 출루,무사 만루 3:2,"1사 1,3루 4:2",1.85,2.585,-0.281,16.6%,0.008
05-18,한화,5회말,김범수,5 류지혁,6 (3-2),4구,2사  4:6,2사 1루 4:6,0.29,0.118,0.121,79.8%,0.008
05-31,한화,1회말,김규연,7 류지혁,1 (0-0),좌익수 희생플라이 아웃,1사 만루 0:2,"2사 1,3루 0:3",1.69,1.829,-0.269,80.9%,0.008
06-01,한화,1회말,조동욱,7 류지혁,1 (0-0),유격수 방면 내야 안타,2사 2루 0:3,"2사 1,3루 0:3",0.65,0.396,0.164,80.9%,0.008
08-06,한화,3회말,바리아,7 류지혁,1 (0-0),중견수 방면 1루타,2사  1:3,2사 1루 1:3,0.31,0.118,0.121,74.9%,0.009
04-20,한화,9회초,장민재,8 류지혁,7 (3-2),4구,2사  1:0,2사 1루 1:0,0.35,0.119,0.124,18.2%,0.009
06-07,키움,3회초,조영건,5 류지혁,6 (3-2),중견수 방면 1루타,2사  3:1,2사 1루 3:1,0.34,0.118,0.125,30.5%,0.010
03-24,KT,3회초,엄상백,7 류지혁,6 (3-2),4구,1사 2루 3:0,"1사 1,2루 3:0",0.73,0.768,0.206,18.0%,0.010
07-03,KIA,5회말,알드레드,8 류지혁,4 (1-2),2루주자 류지혁 : 3루 도루,"1사 1,2루 3:2","2사 1,3루 3:2",2.55,0.491,0.057,41.3%,0.010
