Date,Team,Inning,Pitcher,Batter,BC,Result,Prev,Next,LEV,REs,REa,WPe,WPa
08-02,SSG,6회말,엘리아스,3 이재현,9 (3-2),2루수 땅볼 아웃,1사 1루 3:0,2사 2루 3:0,1.40,0.581,-0.191,13.6%,-0.026
05-02,두산,6회초,김택연,8 이재현,6 (2-2),헛스윙 삼진,2사 1루 2:1,이닝종료 2:1,0.92,0.227,-0.227,39.2%,-0.026
05-08,KIA,3회말,양현종,7 이재현,4 (1-2),중견수 플라이 아웃,무사  0:0,1사  0:0,0.99,0.585,-0.284,53.0%,-0.025
08-02,SSG,4회말,엘리아스,3 이재현,5 (2-2),헛스윙 삼진,무사  3:0,1사  3:0,0.97,0.592,-0.287,18.6%,-0.025
05-24,롯데,6회초,구승민,6 이재현,1 (0-0),선행주자아웃 출루,"2사 1,3루 7:4",이닝종료 7:4,0.88,0.566,-0.566,15.8%,-0.025
06-13,LG,3회말,켈리,2 이재현,2 (0-1),좌익수 플라이 아웃,1사 2루 0:2,2사 2루 0:2,0.85,0.793,-0.393,75.7%,-0.024
07-19,롯데,7회말,한현희,2 이재현,4 (1-2),헛스윙 삼진,2사  5:4,이닝종료 5:4,0.94,0.115,-0.115,25.2%,-0.024
04-25,LG,6회말,최원태,2 이재현,6 (3-2),투수 땅볼 아웃,1사  2:0,2사  2:0,0.96,0.299,-0.180,19.6%,-0.024
05-04,롯데,7회말,윌커슨,2 이재현,7 (3-2),중견수 플라이 아웃,"2사 2,3루 7:2",이닝종료 7:2,0.79,0.642,-0.642,1.7%,-0.024
05-16,SSG,2회초,김광현,5 이재현,4 (2-1),3루수 땅볼 아웃,무사  0:0,1사  0:0,0.93,0.576,-0.274,52.4%,-0.024
05-25,롯데,8회초,구승민,6 이재현,2 (0-1),1루수 플라이 아웃,무사  6:5,1사  6:5,0.90,0.563,-0.269,27.5%,-0.023
07-02,KIA,3회말,네일,2 이재현,5 (0-2),루킹 삼진,무사 1루 0:2,1사 1루 0:2,0.97,1.004,-0.439,76.9%,-0.023
07-17,KIA,4회초,양현종,2 이재현,4 (2-1),3루수 땅볼 아웃,무사  0:3,1사  0:3,0.88,0.585,-0.283,84.0%,-0.022
07-24,한화,3회초,류현진,2 이재현,4 (1-2),투수 땅볼 아웃,무사  1:0,1사  1:0,0.87,0.589,-0.287,40.8%,-0.022
07-26,KT,5회말,엄상백,6 이재현,4 (0-2),헛스윙 삼진,1사  3:1,2사  3:1,0.87,0.301,-0.186,23.1%,-0.022
07-04,KIA,5회말,양현종,9 이재현,5 (3-1),좌익수 플라이 아웃,무사  2:3,1사  2:3,0.84,0.579,-0.278,68.9%,-0.021
05-03,롯데,5회말,한현희,6 이재현,6 (2-2),유격수 땅볼 아웃,무사  4:5,1사  4:5,0.84,0.585,-0.284,68.9%,-0.021
05-11,NC,6회초,류진욱,5 이재현,4 (2-1),우익수 플라이 아웃,1사  0:2,2사  0:2,0.85,0.285,-0.171,83.5%,-0.021
05-22,KT,6회말,쿠에바스,6 이재현,2 (0-1),우익수 플라이 아웃,2사 2루 1:3,이닝종료 1:3,0.73,0.392,-0.392,81.9%,-0.021
05-04,롯데,3회말,윌커슨,2 이재현,2 (0-1),2루수 플라이 아웃,무사  1:2,1사  1:2,0.80,0.585,-0.284,65.0%,-0.021
05-17,한화,6회말,장민재,6 이재현,3 (1-1),좌익수 플라이 아웃,1사 2루 2:4,2사 2루 2:4,0.71,0.791,-0.399,84.0%,-0.020
05-26,롯데,5회초,김상수,5 이재현,4 (1-2),우익수 플라이 아웃,1사  1:3,2사  1:3,0.79,0.295,-0.177,80.3%,-0.019
04-28,키움,3회초,하영민,2 이재현,2 (0-1),3루수 땅볼 아웃,무사 2루 1:2,1사 3루 1:2,1.48,1.277,-0.224,56.3%,-0.019
06-16,NC,7회초,임정호,2 이재현,6 (2-2),헛스윙 삼진,1사  3:2,2사  3:2,0.72,0.300,-0.181,34.7%,-0.018
05-26,롯데,3회초,최이준,5 이재현,5 (2-2),1루수 땅볼 아웃,1사  1:1,2사  1:1,0.72,0.295,-0.177,54.3%,-0.018
06-16,NC,3회초,김시훈,2 이재현,5 (1-2),포수 땅볼 아웃,1사  1:1,2사  1:1,0.72,0.300,-0.181,54.3%,-0.018
05-01,두산,3회초,브랜든,2 이재현,4 (1-2),헛스윙 삼진,1사  1:1,2사  1:1,0.72,0.302,-0.186,54.3%,-0.018
05-12,NC,3회초,이재학,9 이재현,6 (1-2),헛스윙 삼진,무사  2:0,1사  2:0,0.69,0.592,-0.287,30.2%,-0.018
05-24,롯데,5회초,한현희,6 이재현,8 (1-2),중견수 플라이 아웃,무사  5:3,1사  5:3,0.69,0.562,-0.268,26.3%,-0.018
08-07,한화,2회말,류현진,8 이재현,6 (2-2),유격수 플라이 아웃,2사 1루 4:0,이닝종료 4:0,0.61,0.240,-0.240,13.8%,-0.017
06-23,두산,6회말,김유성,2 이재현,5 (2-2),유격수 플라이 아웃,"2사 1,3루 1:4",이닝종료 1:4,0.62,0.530,-0.530,89.7%,-0.017
06-27,LG,5회초,이상영,8 이재현,1 (0-0),3루수 땅볼 아웃,1사  1:0,2사  1:0,0.69,0.304,-0.183,40.0%,-0.017
07-28,KT,5회말,우규민,3 이재현,3 (1-1),우익수 플라이 아웃,2사 3루 0:3,이닝종료 0:3,0.61,0.429,-0.429,86.7%,-0.017
04-13,NC,2회말,하트,5 이재현,4 (0-2),헛스윙 삼진,1사  0:0,2사  0:0,0.67,0.292,-0.176,51.1%,-0.017
05-10,NC,2회초,하트,5 이재현,5 (2-2),헛스윙 삼진,1사  0:0,2사  0:0,0.65,0.282,-0.170,54.0%,-0.016
05-14,SSG,2회초,오원석,5 이재현,2 (1-0),중견수 플라이 아웃,1사  0:0,2사  0:0,0.65,0.288,-0.173,54.0%,-0.016
06-30,KT,2회초,고영표,5 이재현,2 (0-1),투수 땅볼 아웃,1사  0:0,2사  0:0,0.65,0.304,-0.186,54.0%,-0.016
04-23,LG,1회말,임찬규,2 이재현,5 (2-2),1루수 파울플라이 아웃,1사  1:0,2사  1:0,0.65,0.275,-0.169,40.6%,-0.016
05-04,롯데,1회말,윌커슨,2 이재현,2 (1-0),우익수 플라이 아웃,1사  1:0,2사  1:0,0.65,0.301,-0.185,40.6%,-0.016
07-21,롯데,1회말,반즈,2 이재현,5 (2-2),낫아웃 삼진,1사  1:0,2사  1:0,0.65,0.302,-0.187,40.6%,-0.016
04-25,LG,8회말,김유영,2 이재현,4 (1-2),유격수 땅볼 아웃,1사  5:2,2사  5:2,0.65,0.299,-0.180,4.1%,-0.016
04-26,키움,1회초,김인범,2 이재현,6 (3-2),2루수 땅볼 아웃,1사  0:0,2사  0:0,0.62,0.275,-0.167,53.8%,-0.016
04-19,한화,1회초,페냐,2 이재현,4 (1-2),우익수 플라이 아웃,1사  0:0,2사  0:0,0.62,0.297,-0.179,53.8%,-0.016
04-20,한화,1회초,황준서,2 이재현,2 (1-0),우익수 플라이 아웃,1사  0:0,2사  0:0,0.62,0.296,-0.177,53.8%,-0.016
04-21,한화,1회초,산체스,2 이재현,5 (2-2),헛스윙 삼진,1사  0:0,2사  0:0,0.62,0.295,-0.176,53.8%,-0.016
06-25,LG,1회초,켈리,2 이재현,8 (3-2),헛스윙 삼진,1사  0:0,2사  0:0,0.62,0.303,-0.183,53.8%,-0.016
06-26,LG,1회초,엔스,2 이재현,1 (0-0),포수 파울플라이 아웃,1사  0:0,2사  0:0,0.62,0.302,-0.183,53.8%,-0.016
06-28,KT,1회초,조이현,2 이재현,3 (0-2),중견수 플라이 아웃,1사  0:0,2사  0:0,0.62,0.304,-0.185,53.8%,-0.016
07-14,두산,1회초,발라조빅,2 이재현,7 (2-2),중견수 플라이 아웃,1사  0:0,2사  0:0,0.62,0.301,-0.185,53.8%,-0.016
07-13,두산,1회초,시라카와,2 이재현,6 (3-2),헛스윙 삼진,1사  0:0,2사  0:0,0.62,0.301,-0.184,53.8%,-0.016
07-24,한화,1회초,류현진,2 이재현,2 (1-0),2루수 땅볼 아웃,1사  0:0,2사  0:0,0.62,0.302,-0.187,53.8%,-0.016
06-13,LG,1회말,켈리,2 이재현,4 (1-2),헛스윙 삼진,1사  0:0,2사  0:0,0.62,0.297,-0.178,51.0%,-0.015
06-18,SSG,1회말,앤더슨,3 이재현,3 (0-2),루킹 삼진,1사  1:1,2사  1:1,0.62,0.300,-0.181,51.0%,-0.015
06-21,두산,1회말,최준호,2 이재현,5 (2-2),중견수 플라이 아웃,1사  0:0,2사  0:0,0.62,0.302,-0.182,51.0%,-0.015
06-23,두산,1회말,브랜든,2 이재현,4 (1-2),루킹 삼진,1사  0:0,2사  0:0,0.62,0.302,-0.185,51.0%,-0.015
07-11,NC,1회말,신민혁,2 이재현,5 (2-2),유격수 플라이 아웃,1사  0:0,2사  0:0,0.62,0.302,-0.186,51.0%,-0.015
05-12,NC,7회초,전사민,9 이재현,4 (1-2),3루수 직선타 아웃,무사  4:2,1사  4:2,0.60,0.592,-0.287,19.6%,-0.015
05-14,SSG,7회초,최민준,5 이재현,2 (0-1),중견수 플라이 아웃,무사  0:4,1사  0:4,0.59,0.556,-0.268,95.8%,-0.015
07-11,NC,4회말,이준호,2 이재현,2 (0-1),3루수 인필드플라이 아웃,"무사 1,2루 2:6","1사 1,2루 2:6",0.48,1.637,-0.566,92.5%,-0.015
06-23,두산,5회말,홍건희,2 이재현,6 (2-2),3루수 땅볼 아웃,무사  1:3,1사  1:3,0.57,0.579,-0.277,80.1%,-0.014
08-04,SSG,3회말,김광현,7 이재현,4 (2-1),유격수 땅볼 아웃,무사 1루 2:3,1사 2루 2:3,1.30,1.041,-0.240,68.8%,-0.014
04-26,키움,8회초,김재웅,2 이재현,3 (2-0),3루수 땅볼 아웃,무사  2:0,1사  2:0,0.49,0.541,-0.266,14.6%,-0.013
07-19,롯데,3회말,김진욱,2 이재현,2 (1-0),3루수 플라이 아웃,2사  0:0,이닝종료 0:0,0.47,0.115,-0.115,50.0%,-0.012
06-28,KT,5회초,성재헌,2 이재현,1 (0-0),좌익수 플라이 아웃,무사  3:0,1사  3:0,0.47,0.582,-0.277,17.2%,-0.012
04-19,한화,8회초,한승혁,2 이재현,2 (1-0),우익수 플라이 아웃,무사 2루 1:6,1사 3루 1:6,0.52,1.279,-0.241,97.9%,-0.012
07-24,한화,5회초,류현진,2 이재현,3 (2-0),3루수 직선타 아웃,2사  1:0,이닝종료 1:0,0.47,0.115,-0.115,41.2%,-0.012
06-18,SSG,3회말,앤더슨,3 이재현,2 (1-0),3루수 플라이 아웃,2사  4:2,이닝종료 4:2,0.46,0.118,-0.118,26.7%,-0.012
06-21,두산,3회말,최준호,2 이재현,3 (1-1),우익수 플라이 아웃,1사  1:3,2사  1:3,0.45,0.302,-0.182,74.1%,-0.011
08-06,한화,3회말,바리아,6 이재현,6 (2-2),헛스윙 삼진,1사  1:3,2사  1:3,0.45,0.305,-0.187,74.1%,-0.011
05-02,두산,4회초,최원준,8 이재현,5 (2-2),유격수 땅볼 아웃,2사  1:0,이닝종료 1:0,0.43,0.117,-0.117,42.5%,-0.011
07-26,KT,2회말,엄상백,6 이재현,2 (0-1),중견수 플라이 아웃,2사  0:0,이닝종료 0:0,0.43,0.114,-0.114,50.0%,-0.011
05-22,KT,4회말,쿠에바스,6 이재현,3 (1-1),중견수 플라이 아웃,1사  1:3,2사  1:3,0.44,0.292,-0.176,76.3%,-0.011
06-25,LG,4회초,켈리,2 이재현,2 (1-0),3루수 땅볼 아웃,1사  0:4,2사  0:4,0.44,0.303,-0.183,90.8%,-0.011
07-03,KIA,2회말,알드레드,6 이재현,4 (0-2),헛스윙 삼진,2사  2:0,이닝종료 2:0,0.42,0.118,-0.118,28.5%,-0.011
07-03,KIA,6회말,장현식,6 이재현,4 (1-2),중견수 플라이 아웃,2사  3:4,이닝종료 3:4,0.42,0.118,-0.118,69.6%,-0.011
07-31,LG,6회초,손주영,3 이재현,3 (0-2),낫아웃 삼진,무사  1:6,1사  1:6,0.41,0.592,-0.287,96.5%,-0.011
